As	BFM.P	MBE.P
0	1.288249E-08	1.288249E-08
5	1.320280E-08	1.320280E-08
10	3.087480E-07	3.087480E-07
15	3.722277E-07	3.722277E-07
20	5.231348E-07	5.231348E-07
30	1.492201E-06	1.492201E-06
40	2.884032E-06	2.884032E-06
50	4.265796E-06	4.265796E-06
60	5.615733E-06	5.615733E-06
80	7.943284E-06	7.943284E-06
100	9.549926E-06	9.549926E-06
