0	8.511379E-10	4.5E-10
0	8.317637E-10	4.4E-10
0	8.128305E-10	4.3E-10
4	8.511379E-10	4.2E-10
4	9.120109E-10	4.2E-10
4	9.772372E-10	4.1E-10
8	5.128614E-8	1.4E-9
8	5.248075E-8	1.6E-9
8	5.495409E-8	1.7E-9
12	2.290868E-7	7.4E-9
12	2.511887E-7	7.7E-9
12	2.818382E-7	7.9E-9
16	3.388443E-7	1E-8
16	3.548135E-7	9.9E-9
16	3.63078E-7	9.9E-9
20	4.897789E-7	1.3E-8
20	5.01187E-7	1.3E-8
20	5.128614E-7	1.3E-8
12	3.548135E-7	1E-8
12	3.63078E-7	1E-8
12	3.63078E-7	9.9E-9
0	1.318256E-8	3.3E-9
0	1.071519E-8	2.6E-9
0	8.91251E-9	2.2E-9
