0	4.265795E-10	2.6E-10
0	4.466836E-10	2.6E-10
0	4.570882E-10	2.6E-10
4	6.025595E-10	2.6E-10
4	7.079458E-10	2.6E-10
4	8.511379E-10	2.6E-10
8	1.862087E-9	2.5E-10
8	2.137962E-9	2.5E-10
8	2.238721E-9	2.5E-10
12	1.862087E-7	4.5E-9
12	2.187762E-7	4.8E-9
12	2.398834E-7	5.1E-9
16	2.691534E-7	6.4E-9
16	2.818382E-7	6.3E-9
16	2.818382E-7	6.3E-9
20	4.265796E-7	9.6E-9
20	4.365157E-7	9.5E-9
20	4.466837E-7	9.5E-9
25	7.079456E-7	1.5E-8
25	7.244362E-7	1.5E-8
25	7.244362E-7	1.5E-8
30	1.318256E-6	2.8E-8
30	1.318256E-6	2.8E-8
30	1.380384E-6	2.8E-8
35	2.041738E-6	4.3E-8
35	2.089297E-6	4.2E-8
35	2.089297E-6	4.2E-8
40	2.818382E-6	5.9E-8
40	2.884032E-6	5.9E-8
40	2.884032E-6	5.9E-8
45	3.63078E-6	7.7E-8
45	3.63078E-6	7.6E-8
45	3.715354E-6	7.6E-8
50	4.265796E-6	9.3E-8
50	4.265796E-6	9.1E-8
50	4.265796E-6	9.1E-8
60	5.623413E-6	1.2E-7
60	5.623413E-6	1.2E-7
60	5.623413E-6	1.2E-7
70	6.918312E-6	1.5E-7
70	6.918312E-6	1.5E-7
70	6.918312E-6	1.5E-7
80	7.943284E-6	1.8E-7
80	7.943284E-6	1.8E-7
80	7.943284E-6	1.7E-7
90	8.912505E-6	2E-7
90	8.912505E-6	2E-7
90	9.120109E-6	2E-7
40	3.019952E-6	7.9E-8
40	3.019952E-6	7.3E-8
40	3.019952E-6	7E-8
20	6.760829E-7	3.3E-8
20	6.606937E-7	3E-8
20	6.456541E-7	2.7E-8
0	1.122019E-7	1.8E-8
0	1.047129E-7	1.6E-8
0	9.549926E-8	1.5E-8
